Ejecucion,Fitness,Violaciones
1,-14.776996417676225,0.0
2,-14.86959716399435,0.0
3,-14.877768749825334,0.0
4,-14.865115698817473,0.0
5,-14.873514930273936,0.0
6,-14.869909677380807,0.0
7,-14.78843987651762,0.0
8,-14.883505830158244,0.0
9,-14.816891145091391,0.0
10,-14.84460627784881,0.0
11,-14.889971699843645,0.0
12,-14.889216376642732,0.0
13,-14.834409794685264,0.0
14,-14.78965645941189,0.0
15,-14.903962621830175,0.0
16,-14.830210950765212,0.0
17,-14.859776028836745,0.0
18,-14.797167526209734,0.0
19,-14.80505571621304,0.0
20,-14.845997653166112,0.0
21,-14.823415398059595,0.0
22,-14.842826771532678,0.0
23,-14.865691559272875,0.0
24,-14.83742725137391,0.0
25,-14.860971655730298,0.0
